registry_id	ligand	receptor	ligand_entity_type	receptor_entity_type	ligand_components	receptor_components	source_methods	source_resources	source_databases	source_record_ids	pathway_labels	interaction_annotations	evidence_notes	cofactor_annotations	species_scope	direct_lr_candidate
LRREG_005826	Orm3	Ccr5	gene	gene	Orm3	Ccr5	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005827	Osm	Il6st	gene	gene	Osm	Il6st	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005828	Osm	Il6st_Lifr	gene	complex	Osm	Il6st|Lifr	liana	mouseconsensus							mouse	true
LRREG_005829	Osm	Il6st_Osmr	gene	complex	Osm	Il6st|Osmr	liana	mouseconsensus							mouse	true
LRREG_005830	Osm	Lifr	gene	gene	Osm	Lifr	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005831	Osm	Lifr_Il6st	gene	complex	Osm	Lifr|Il6st	cellchat	CellChatDB.mouse		OSM_LIFR_IL6ST	OSM	Secreted Signaling	KEGG: mmu04060		mouse	true
LRREG_005832	Osm	Osmr	gene	gene	Osm	Osmr	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005833	Osm	Osmr_Il6st	gene	complex	Osm	Osmr|Il6st	cellchat	CellChatDB.mouse		OSM_OSMR_IL6ST	OSM	Secreted Signaling	KEGG: mmu04060		mouse	true
LRREG_005834	Ostn	Npr3	gene	gene	Ostn	Npr3	cellchat|liana|nichenet	CellChatDB.mouse|mouseconsensus|nichenet_v2_mouse_lr_network	omnipath	OSTN_NPR3	OSTN	Secreted Signaling	PMID: 29326144		mouse	true
LRREG_005835	Oxt	Avpr1a	gene	gene	Oxt	Avpr1a	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005836	Oxt	Avpr1b	gene	gene	Oxt	Avpr1b	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005837	Oxt	Avpr2	gene	gene	Oxt	Avpr2	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005838	Oxt	Oxtr	gene	gene	Oxt	Oxtr	cellchat|liana|nichenet	CellChatDB.mouse|mouseconsensus|nichenet_v2_mouse_lr_network	omnipath	OXT_OXTR	OXT	Secreted Signaling	KEGG: mmu04080		mouse	true
LRREG_005839	P4hb	Mttp	gene	gene	P4hb	Mttp	liana	mouseconsensus							mouse	true
LRREG_005840	Pam	Dpp4	gene	gene	Pam	Dpp4	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005841	Pam	Fap	gene	gene	Pam	Fap	liana|nichenet	mouseconsensus|nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005842	Pam	Fxyd1	gene	gene	Pam	Fxyd1	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
LRREG_005843	Papln	Cd200	gene	gene	Papln	Cd200	nichenet	nichenet_v2_mouse_lr_network	omnipath						mouse	true
