tf_key	display_symbols	species_scopes	source_registries	reported_contributor_labels	human_current_sets	mouse_current_sets	vertebrate_profile_current_sets	human_status	mouse_status	vertebrate_profile_status	current_entity_ids	species_scope_count	current_any_species	new_species_scopes	dedupe_status	notes
zfp422	Zfp422	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp423	Zfp423	mouse	AnimalTFDB3;TRRUST	TRRUST					existing_public_pair_union			1	false		existing_or_canonical	
zfp426	Zfp426	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp429	Zfp429	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp433	Zfp433	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp438	Zfp438	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp442	Zfp442	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp444	Zfp444	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp445	Zfp445	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp446	Zfp446	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp449	Zfp449	mouse	AnimalTFDB3;TFLink						new_candidate			1	false	mouse	new_candidate	
zfp454	Zfp454	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp455	Zfp455	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp456	Zfp456	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp457	Zfp457	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp458	Zfp458	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp459	Zfp459	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp46	Zfp46	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp467	Zfp467	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp472	Zfp472	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp473	Zfp473	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp474	Zfp474	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp488	Zfp488	mouse	AnimalTFDB3;TRRUST	TRRUST					existing_public_pair_union			1	false		existing_or_canonical	
zfp493	Zfp493	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp503	Zfp503	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp507	Zfp507	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp51	Zfp51	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp511	Zfp511	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp512	Zfp512	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp512b	Zfp512b	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp513	Zfp513	mouse	AnimalTFDB3;TRRUST	TRRUST					existing_public_pair_union			1	false		existing_or_canonical	
zfp516	Zfp516	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp518b	Zfp518b	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp52	Zfp52	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp521	Zfp521	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp523	Zfp523	mouse	AnimalTFDB3;TRRUST	TRRUST					existing_public_pair_union			1	false		existing_or_canonical	
zfp524	Zfp524	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp526	Zfp526	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp53	Zfp53	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp532	Zfp532	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp534	Zfp534	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp536	Zfp536	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp54	Zfp54	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp541	Zfp541	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp551	Zfp551	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp553	Zfp553	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp558	Zfp558	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp560	Zfp560	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp563	Zfp563	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp566	Zfp566	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp568	Zfp568	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp57	ZFP57;Zfp57	human;mouse;vertebrates	AnimalTFDB3;JASPAR_CORE;Lambert_HumanTFs;TFLink					new_candidate	new_candidate	new_candidate		3	false	human;mouse;vertebrates	new_candidate	Cross-species inventory collapse only; retain species-specific evidence records separately.; Vertebrate JASPAR/profile scope is not treated as human/mouse evidence.
zfp574	Zfp574	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp575	Zfp575	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp579	Zfp579	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp58	Zfp58	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp580	Zfp580	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp583	Zfp583	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp59	Zfp59	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp592	Zfp592	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp595	Zfp595	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp597	Zfp597	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp599	Zfp599	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp60	Zfp60	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp600	Zfp600	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp605	Zfp605	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp606	Zfp606	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp607a	Zfp607a	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp607b	Zfp607b	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp608	Zfp608	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
zfp609	Zfp609	mouse	AnimalTFDB3						new_candidate			1	false	mouse	new_candidate	
