pmcid	local_path	retrieval_status	retrieval_method	retrieved_at_utc	sha256
PMC3150482	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3150482_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.433160+00:00	5e1d1660cc54dd92c0de7c173e745404d9382c628bff3e9b67a67e233d691cf2
PMC3177407	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3177407_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.435724+00:00	c357b1e24bc3562d553e7d0674d9cc7cba538b3b28109d7a7412b93684b85627
PMC3243752	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3243752_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.439518+00:00	f5054d298ec02f7b6a43873692f115532519e26f589dedf0187dcbc158786a00
PMC3252370	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3252370_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.438300+00:00	98f8c6cc4045c635aba9466c29deca3e07b5cce436800041e53102450bf5d8cd
PMC3308797	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3308797_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.437457+00:00	45fd2173d9433993cf4adedc1d31e5580590cd2fb092512a8b055bd162c2078d
PMC3341393	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3341393_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.432437+00:00	9acfcfcbd40a08b48bc31f4997f5f11aebbd309f9e85758d0f6f73678952409c
PMC3445328	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3445328_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.438898+00:00	70dcec99ea782e29b168cd6b454298fe3e6f64c27036a2c8ac0b356e4e11828c
PMC3477231	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3477231_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:06:58.959203+00:00	f40f203d695a18af70e815e70436e34ea81699b630e17a2e3aedc30b9eb158d0
PMC3707630	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3707630_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.433009+00:00	cbcaca41b8f3d4c87f8383779e64efc52e98ce547b8f107886d0928c0e714630
PMC3893357	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3893357_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.436345+00:00	d8201ff71eeb580e5925bab6b2ee11c2d37991ea12a9be220e52e56e1e6c4521
PMC3898417	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3898417_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.431645+00:00	4bdb4e4a3a3bbf285732546f1ec6c76c5baf0223f630f6ded4498f2d41340c8a
PMC3909532	data/raw/evidence/module23_pmc_fulltext_20260905/PMC3909532_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.435037+00:00	42c93198ddce3b63c5733e76730b77fbaf5632e2268fe662352ea20e25aaa369
PMC4140303	data/raw/evidence/module23_pmc_fulltext_20260905/PMC4140303_full.xml	cached	ncbi_pmc_xml	2026-09-05T16:07:30.441620+00:00	c2a434f5106fdb95bec394dc9bde60621cbc5e1ee02ac345f81ba79fff006fb9
PMC4159701	data/raw/evidence/module23_pmc_fulltext_20260905/PMC4159701_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.434081+00:00	340138d9a03a9a8b9f0975f08fa72b2a52f2029a69a64eeab6d5d1ba442b5e3d
PMC4643364	data/raw/evidence/module23_pmc_fulltext_20260905/PMC4643364_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.434739+00:00	d27384b555b467d984c91979a10820d05595ed1b1a9c704b7ac23dbb5511b672
PMC4858292	data/raw/evidence/module23_pmc_fulltext_20260905/PMC4858292_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.432212+00:00	ce16ccfb9cef0118692b34f1e454f6a0e4e9aaaa35a464bfdcb977b71fbdafcf
PMC5158134	data/raw/evidence/module23_pmc_fulltext_20260905/PMC5158134_bioc.json	cached	ncbi_bioc_json	2026-09-05T16:07:30.434480+00:00	31790ea1f52087c2f6530ec674c7e9f988b1871c3590995fcb9802863bb3ce9f
