pair_key	pair_label_canonical	cellchat_status	module20a_status	review_id	current_confidence	prior_notes
pge2-ptges3 ptger1	PGE2-PTGES3 Ptger1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pge2-ptges3 ptger2	PGE2-PTGES3 Ptger2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pge2-ptges3 ptger3	PGE2-PTGES3 Ptger3	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pge2-ptges3 ptger4	PGE2-PTGES3 Ptger4	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pgf flt1	Pgf Flt1	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
pgf2a-cbr1 ptgfr	PGF2a-CBR1 Ptgfr	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pgf2a-prxl2b ptgfr	PGF2a-PRXL2B Ptgfr	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pgi2-ptgis ptgir	PGI2-PTGIS Ptgir	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ppbp cxcr2	Ppbp Cxcr2	cellchat_full	yes		unreviewed	not_in_module20a_review_queue
ppia bsg	Ppia Bsg	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ppy npy4r	Ppy Npy4r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ppy npy6r	Ppy Npy6r	cellchat_full	no		unreviewed	not_in_module20a_review_queue
ppy pgr15l	Ppy Pgr15l	cellchat_full	no		unreviewed	not_in_module20a_review_queue
pregnenolone-cyp11a1 nr1i2	Pregnenolone-CYP11A1 Nr1i2	cellchat_full	no		unreviewed	not_in_module20a_review_queue
prnp adgrg6	Prnp Adgrg6	cellchat_full	no		unreviewed	not_in_module20a_review_queue
proc procr_f2r	Proc PROCR_F2R	cellchat_full	no		unreviewed	not_in_module20a_review_queue
proc procr_hsp90aa1	Proc PROCR_HSP90AA1	cellchat_full	no		unreviewed	not_in_module20a_review_queue
progesterone-hsd3b1 catsper1_catsperb	Progesterone-HSD3B1 CATSPER1_CATSPERB	cellchat_full	no		unreviewed	not_in_module20a_review_queue
progesterone-hsd3b1 catsper1_catsperd	Progesterone-HSD3B1 CATSPER1_CATSPERD	cellchat_full	no		unreviewed	not_in_module20a_review_queue
progesterone-hsd3b1 catsper2_catsperb	Progesterone-HSD3B1 CATSPER2_CATSPERB	cellchat_full	no		unreviewed	not_in_module20a_review_queue
progesterone-hsd3b1 catsper2_catsperd	Progesterone-HSD3B1 CATSPER2_CATSPERD	cellchat_full	no		unreviewed	not_in_module20a_review_queue
progesterone-hsd3b1 catsper3_catsperb	Progesterone-HSD3B1 CATSPER3_CATSPERB	cellchat_full	no		unreviewed	not_in_module20a_review_queue
progesterone-hsd3b1 catsper3_catsperd	Progesterone-HSD3B1 CATSPER3_CATSPERD	cellchat_full	no		unreviewed	not_in_module20a_review_queue
progesterone-hsd3b1 catsper4_catsperb	Progesterone-HSD3B1 CATSPER4_CATSPERB	cellchat_full	no		unreviewed	not_in_module20a_review_queue
